service_id,date,exception_type
14-Weekday-2-18SUM-1111100,20180706,1
14-Weekday-2-18SUM-1111100,20180709,1
14-Weekday-2-18SUM-1111100,20180710,1
14-Weekday-2-18SUM-1111100,20180711,1
14-Weekday-2-18SUM-1111100,20180712,1
14-Weekday-2-18SUM-1111100,20180713,1
14-Weekday-2-18SUM-1111100,20180716,1
14-Weekday-2-18SUM-1111100,20180717,1
14-Weekday-2-18SUM-1111100,20180718,1
14-Weekday-2-18SUM-1111100,20180719,1
14-Weekday-2-18SUM-1111100,20180720,1
14-Weekday-2-18SUM-1111100,20180723,1
14-Weekday-2-18SUM-1111100,20180724,1
14-Weekday-2-18SUM-1111100,20180725,1
14-Weekday-2-18SUM-1111100,20180726,1
14-Weekday-2-18SUM-1111100,20180727,1
14-Weekday-2-18SUM-1111100,20180730,1
14-Weekday-2-18SUM-1111100,20180731,1
14-Weekday-2-18SUM-1111100,20180801,1
14-Weekday-2-18SUM-1111100,20180802,1
14-Weekday-2-18SUM-1111100,20180803,1
14-Weekday-2-18SUM-1111100,20180806,1
14-Weekday-2-18SUM-1111100,20180807,1
14-Weekday-2-18SUM-1111100,20180808,1
14-Weekday-2-18SUM-1111100,20180809,1
14-Weekday-2-18SUM-1111100,20180810,1
14-Weekday-2-18SUM-1111100,20180813,1
14-Weekday-2-18SUM-1111100,20180814,1
14-Weekday-2-18SUM-1111100,20180815,1
14-Weekday-2-18SUM-1111100,20180816,1
14-Weekday-2-18SUM-1111100,20180817,1
14-Weekday-2-18SUM-1111100,20180820,1
14-Weekday-2-18SUM-1111100,20180821,1
14-Weekday-2-18SUM-1111100,20180822,1
14-Weekday-2-18SUM-1111100,20180823,1
14-Weekday-2-18SUM-1111100,20180824,1
14-Weekday-2-18SUM-1111100,20180827,1
14-Weekday-2-18SUM-1111100,20180828,1
14-Weekday-2-18SUM-1111100,20180829,1
14-Weekday-2-18SUM-1111100,20180830,1
14-Weekday-2-18SUM-1111100,20180831,1
16-Weekday-1-18SPRI-1111100,20180611,1
16-Weekday-1-18SPRI-1111100,20180612,1
16-Weekday-1-18SPRI-1111100,20180613,1
16-Weekday-1-18SPRI-1111100,20180614,1
16-Weekday-1-18SPRI-1111100,20180615,1
16-Weekday-1-18SPRI-1111100,20180618,1
16-Weekday-1-18SPRI-1111100,20180619,1
16-Weekday-1-18SPRI-1111100,20180620,1
16-Weekday-1-18SPRI-1111100,20180621,1
16-Weekday-1-18SPRI-1111100,20180622,1
16-Weekday-1-18SUM-1111100,20180625,1
16-Weekday-1-18SUM-1111100,20180626,1
16-Weekday-1-18SUM-1111100,20180627,1
16-Weekday-1-18SUM-1111100,20180628,1
16-Weekday-1-18SUM-1111100,20180629,1
16-Weekday-1-18SUM-1111100,20180703,1
16-Weekday-1-18SUM-1111100,20180704,1
16-Weekday-1-18SUM-1111100,20180705,1
16-Weekday-1-18SUM-1111100,20180706,1
16-Weekday-1-18SUM-1111100,20180709,1
16-Weekday-1-18SUM-1111100,20180710,1
16-Weekday-1-18SUM-1111100,20180711,1
16-Weekday-1-18SUM-1111100,20180712,1
16-Weekday-1-18SUM-1111100,20180713,1
16-Weekday-1-18SUM-1111100,20180716,1
16-Weekday-1-18SUM-1111100,20180717,1
16-Weekday-1-18SUM-1111100,20180718,1
16-Weekday-1-18SUM-1111100,20180719,1
16-Weekday-1-18SUM-1111100,20180720,1
16-Weekday-1-18SUM-1111100,20180723,1
16-Weekday-1-18SUM-1111100,20180724,1
16-Weekday-1-18SUM-1111100,20180725,1
16-Weekday-1-18SUM-1111100,20180726,1
16-Weekday-1-18SUM-1111100,20180727,1
16-Weekday-1-18SUM-1111100,20180730,1
16-Weekday-1-18SUM-1111100,20180731,1
16-Weekday-1-18SUM-1111100,20180801,1
16-Weekday-1-18SUM-1111100,20180802,1
16-Weekday-1-18SUM-1111100,20180803,1
16-Weekday-1-18SUM-1111100,20180806,1
16-Weekday-1-18SUM-1111100,20180807,1
16-Weekday-1-18SUM-1111100,20180808,1
16-Weekday-1-18SUM-1111100,20180809,1
16-Weekday-1-18SUM-1111100,20180810,1
16-Weekday-1-18SUM-1111100,20180813,1
16-Weekday-1-18SUM-1111100,20180814,1
